epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,84.71,0.66828,2.39489,1.1856,0.15136,0.64626,0.04936,0.03063,1.25882,3.62999,2.38785,0.0700958,0.00332268,0.00332268
2,164.422,0.64647,2.21076,1.16173,0.1547,0.69796,0.05536,0.03836,0.92045,2.77289,1.75886,0.0399641,0.00652423,0.00652423
3,243.878,0.56872,2.14761,1.11202,0.17799,0.59848,0.07509,0.0632,0.56794,2.33563,1.28625,0.00970027,0.00959377,0.00959377
4,323.007,0.52805,2.11781,1.07631,0.05051,0.95943,0.0742,0.06595,0.51029,2.16531,1.17331,0.009406,0.009406,0.009406
5,400.624,0.49193,2.10264,1.06516,0.0538,0.9392,0.08312,0.07652,0.43067,2.10684,1.07306,0.009208,0.009208,0.009208
6,478.535,0.45749,2.08668,1.03586,0.05163,0.83794,0.08262,0.07537,0.41444,2.2636,1.04737,0.00901,0.00901,0.00901
7,555.994,0.44472,2.06706,1.03197,0.06502,0.7711,0.10132,0.09471,0.39434,2.05258,1.03072,0.008812,0.008812,0.008812
8,633.499,0.43585,2.03751,1.02715,0.13942,0.56186,0.11423,0.10554,0.40865,2.28761,1.06879,0.008614,0.008614,0.008614
9,710.489,0.42057,2.00606,1.01794,0.12407,0.7833,0.12533,0.1201,0.35519,2.07143,1.00233,0.008416,0.008416,0.008416
10,787.706,0.40456,1.98686,1.01269,0.12253,0.61586,0.16157,0.15512,0.34831,1.98169,0.98998,0.008218,0.008218,0.008218
11,865.441,0.39318,1.95256,1.00682,0.27639,0.50739,0.1827,0.17499,0.34415,1.86077,0.97287,0.00802,0.00802,0.00802
12,943.364,0.38283,1.92395,0.9955,0.2229,0.42259,0.19842,0.18783,0.34765,1.89656,0.98119,0.007822,0.007822,0.007822
13,1020.29,0.37745,1.90728,0.99499,0.22881,0.49694,0.21503,0.20903,0.31415,1.82745,0.95288,0.007624,0.007624,0.007624
14,1097.2,0.36656,1.87669,0.99065,0.28943,0.48057,0.22026,0.21452,0.31709,1.82529,0.94978,0.007426,0.007426,0.007426
15,1174.17,0.37274,1.84749,0.99206,0.15483,0.5649,0.24041,0.2313,0.29986,1.83395,0.93899,0.007228,0.007228,0.007228
16,1251.19,0.35673,1.81743,0.98342,0.23937,0.50067,0.2829,0.2734,0.2998,1.69848,0.93516,0.00703,0.00703,0.00703
17,1328.17,0.35725,1.78667,0.98308,0.25197,0.553,0.2951,0.28848,0.30661,1.66645,0.93965,0.006832,0.006832,0.006832
18,1405.22,0.34942,1.73954,0.98026,0.1903,0.55245,0.27588,0.26747,0.32613,1.86104,0.96778,0.006634,0.006634,0.006634
19,1482.28,0.34087,1.71918,0.97324,0.25578,0.59409,0.29524,0.28626,0.30117,1.76586,0.93946,0.006436,0.006436,0.006436
20,1559.22,0.33718,1.6899,0.97252,0.33214,0.56609,0.35644,0.34837,0.29853,1.58343,0.93493,0.006238,0.006238,0.006238
21,1636.29,0.33511,1.65415,0.97131,0.29915,0.57654,0.4183,0.40309,0.28423,1.46653,0.92323,0.00604,0.00604,0.00604
22,1713.04,0.32787,1.6114,0.96375,0.29622,0.56249,0.4104,0.40219,0.28688,1.43921,0.92355,0.005842,0.005842,0.005842
23,1789.9,0.32753,1.58278,0.96421,0.36567,0.58186,0.42591,0.41799,0.27746,1.4513,0.9152,0.005644,0.005644,0.005644
24,1866.91,0.32859,1.56068,0.96696,0.33751,0.60621,0.43361,0.42657,0.27826,1.41959,0.90909,0.005446,0.005446,0.005446
25,1943.99,0.31954,1.52901,0.95817,0.3642,0.57759,0.47007,0.45705,0.27778,1.35486,0.91565,0.005248,0.005248,0.005248
26,2021.01,0.31506,1.49879,0.95964,0.45947,0.56248,0.50547,0.48789,0.29287,1.29923,0.92219,0.00505,0.00505,0.00505
27,2097.96,0.3154,1.46799,0.9559,0.4248,0.59498,0.50521,0.49189,0.26993,1.33596,0.91548,0.004852,0.004852,0.004852
28,2174.78,0.30621,1.45542,0.95829,0.41507,0.62824,0.53342,0.52534,0.26879,1.20093,0.90087,0.004654,0.004654,0.004654
29,2251.85,0.30582,1.41705,0.95306,0.48517,0.59628,0.57597,0.56146,0.27488,1.16561,0.91134,0.004456,0.004456,0.004456
30,2328.8,0.30418,1.38297,0.95408,0.51937,0.54467,0.54246,0.53097,0.26804,1.26963,0.9092,0.004258,0.004258,0.004258
31,2405.62,0.30818,1.38127,0.95549,0.5106,0.63279,0.60992,0.59514,0.2693,1.10215,0.9087,0.00406,0.00406,0.00406
32,2482.65,0.30367,1.35099,0.95213,0.76164,0.51246,0.61598,0.60204,0.26435,1.12232,0.90829,0.003862,0.003862,0.003862
33,2559.54,0.29566,1.3162,0.9488,0.5407,0.63873,0.64209,0.62912,0.2504,1.05178,0.89351,0.003664,0.003664,0.003664
34,2636.43,0.2942,1.29174,0.94954,0.56325,0.65742,0.67037,0.65887,0.25003,0.98517,0.89013,0.003466,0.003466,0.003466
35,2713.35,0.28977,1.26952,0.94794,0.67215,0.62104,0.67779,0.66525,0.25228,0.95712,0.89315,0.003268,0.003268,0.003268
36,2790.24,0.29011,1.232,0.94629,0.62365,0.6493,0.67954,0.67012,0.2478,0.93694,0.8941,0.00307,0.00307,0.00307
