epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,60.1702,0.62419,2.50163,1.15844,0.32208,0.34258,0.04972,0.03805,0.99052,2.84966,2.01504,0.0700958,0.00332268,0.00332268
2,117.018,0.63861,2.22978,1.15066,0.25861,0.2837,0.04126,0.02628,1.27769,3.33571,2.23229,0.0399641,0.00652423,0.00652423
3,168.088,0.58245,2.16891,1.11598,0.13419,0.48959,0.10369,0.08797,0.7238,2.4066,1.36109,0.00970027,0.00959377,0.00959377
4,218.543,0.54238,2.1181,1.0868,0.07319,0.54504,0.08472,0.07377,0.5776,2.56752,1.22756,0.009406,0.009406,0.009406
5,268.697,0.50638,2.07143,1.06551,0.30238,0.49261,0.14629,0.13553,0.47223,2.08179,1.12615,0.009208,0.009208,0.009208
6,319.201,0.47806,2.02842,1.04633,0.19427,0.4529,0.14376,0.13156,0.45021,2.24083,1.10251,0.00901,0.00901,0.00901
7,369.453,0.46404,1.99057,1.04161,0.23267,0.54346,0.19278,0.18007,0.39886,1.89042,1.04297,0.008812,0.008812,0.008812
8,419.279,0.44756,1.94869,1.02942,0.17205,0.57056,0.20545,0.19078,0.43152,1.93986,1.06329,0.008614,0.008614,0.008614
9,468.899,0.43186,1.91599,1.02129,0.18595,0.467,0.1943,0.18393,0.39184,2.09153,1.02921,0.008416,0.008416,0.008416
10,518.755,0.42392,1.8934,1.01829,0.24437,0.51108,0.22434,0.20815,0.40839,1.94259,1.04475,0.008218,0.008218,0.008218
11,568.645,0.41682,1.85011,1.01558,0.20516,0.49754,0.26584,0.24425,0.41262,1.79489,1.04434,0.00802,0.00802,0.00802
12,618.672,0.39821,1.80619,1.0012,0.31621,0.52525,0.32149,0.30848,0.34697,1.64939,1.00029,0.007822,0.007822,0.007822
13,668.421,0.39407,1.77431,1.00126,0.34733,0.54261,0.34785,0.33114,0.37003,1.58208,1.02175,0.007624,0.007624,0.007624
14,718.557,0.38405,1.74421,0.99514,0.35442,0.50062,0.32581,0.31029,0.36656,1.63207,1.00896,0.007426,0.007426,0.007426
15,768.016,0.38797,1.71214,0.9994,0.28336,0.55822,0.38381,0.36728,0.35645,1.53,1.00559,0.007228,0.007228,0.007228
16,817.871,0.3719,1.67523,0.99044,0.26775,0.56952,0.36726,0.34742,0.36406,1.57479,1.00857,0.00703,0.00703,0.00703
17,868.25,0.37117,1.65699,0.98793,0.29257,0.57039,0.39454,0.37682,0.33879,1.55898,0.98926,0.006832,0.006832,0.006832
18,918.378,0.36013,1.61796,0.98387,0.32777,0.55196,0.39066,0.37283,0.33622,1.59003,0.98016,0.006634,0.006634,0.006634
19,968.172,0.35793,1.60125,0.98014,0.38868,0.5733,0.48199,0.456,0.33702,1.41667,0.97989,0.006436,0.006436,0.006436
20,1018.06,0.35332,1.58363,0.97998,0.33829,0.59697,0.47474,0.45595,0.32516,1.40386,0.9696,0.006238,0.006238,0.006238
21,1068.22,0.35021,1.5329,0.97656,0.50829,0.55164,0.51389,0.49506,0.3062,1.30883,0.94724,0.00604,0.00604,0.00604
22,1118.56,0.34579,1.50308,0.97372,0.34693,0.61236,0.49988,0.47927,0.32624,1.33452,0.96595,0.005842,0.005842,0.005842
23,1168.82,0.3424,1.46901,0.96866,0.45437,0.65244,0.55402,0.53126,0.31178,1.23379,0.95304,0.005644,0.005644,0.005644
24,1218.51,0.34218,1.45142,0.97168,0.44413,0.6323,0.5484,0.52998,0.30447,1.25413,0.94267,0.005446,0.005446,0.005446
25,1268.39,0.33396,1.42477,0.96627,0.5247,0.65226,0.62314,0.60382,0.30995,1.12466,0.95032,0.005248,0.005248,0.005248
26,1318.12,0.33001,1.39237,0.96561,0.51999,0.67393,0.64311,0.62041,0.30046,1.08801,0.93766,0.00505,0.00505,0.00505
27,1367.88,0.32889,1.36475,0.96148,0.55169,0.64368,0.6575,0.63396,0.31231,1.09409,0.95467,0.004852,0.004852,0.004852
28,1417.96,0.32203,1.34601,0.96422,0.59867,0.65874,0.68269,0.66111,0.30114,1.05118,0.94105,0.004654,0.004654,0.004654
29,1467.23,0.32014,1.31395,0.95987,0.61305,0.64525,0.68972,0.66376,0.30079,1.05869,0.94642,0.004456,0.004456,0.004456
30,1517.6,0.31728,1.27848,0.95979,0.72157,0.6111,0.71088,0.68879,0.30453,0.97849,0.94868,0.004258,0.004258,0.004258
31,1567.89,0.32057,1.28283,0.96093,0.67175,0.70065,0.74118,0.71951,0.29684,0.90281,0.93373,0.00406,0.00406,0.00406
32,1617.67,0.31614,1.24854,0.9589,0.65249,0.67388,0.72551,0.70303,0.29918,0.96647,0.93047,0.003862,0.003862,0.003862
33,1668.39,0.30974,1.22207,0.9544,0.69492,0.68734,0.742,0.72099,0.29103,0.90435,0.9296,0.003664,0.003664,0.003664
34,1717.88,0.30995,1.20361,0.95632,0.65821,0.69444,0.73808,0.72064,0.28534,0.88666,0.92107,0.003466,0.003466,0.003466
35,1767.86,0.30362,1.18251,0.9534,0.74399,0.71108,0.77282,0.75166,0.2957,0.8695,0.93333,0.003268,0.003268,0.003268
36,1817.7,0.30408,1.15728,0.95422,0.65717,0.74332,0.76482,0.74398,0.28462,0.85617,0.9247,0.00307,0.00307,0.00307
37,1867.39,0.29731,1.12478,0.94725,0.73594,0.74567,0.79862,0.77923,0.27692,0.78137,0.91779,0.002872,0.002872,0.002872
38,1916.99,0.29646,1.13163,0.95105,0.76232,0.72214,0.78841,0.76931,0.27913,0.79764,0.91823,0.002674,0.002674,0.002674
