epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,96.405,0.62773,2.49963,1.14252,0.1636,0.44318,0.06282,0.04487,1.09923,2.76799,1.83052,0.0700958,0.00332268,0.00332268
2,182.272,0.6087,2.21697,1.1275,0.059,0.70869,0.08438,0.06817,0.69593,2.36721,1.4882,0.0399641,0.00652423,0.00652423
3,264.664,0.57727,2.15498,1.10849,0.05799,0.82169,0.07646,0.06781,0.49971,2.13802,1.17419,0.00970027,0.00959377,0.00959377
4,346.149,0.5322,2.10757,1.07317,0.1915,0.64537,0.12208,0.11337,0.41207,2.06501,1.04084,0.009406,0.009406,0.009406
5,429.487,0.48383,2.05661,1.04908,0.25162,0.41786,0.1038,0.0775,0.53649,2.47538,1.19199,0.009208,0.009208,0.009208
6,511.994,0.45899,2.01759,1.03105,0.06946,0.72506,0.15278,0.14174,0.40536,2.14929,1.07583,0.00901,0.00901,0.00901
7,593.767,0.44435,1.98273,1.02565,0.18542,0.53043,0.18118,0.17418,0.34254,1.89541,0.9732,0.008812,0.008812,0.008812
8,676.056,0.43876,1.93755,1.0183,0.12443,0.51009,0.19945,0.19253,0.32388,1.97536,0.94901,0.008614,0.008614,0.008614
9,756.225,0.4123,1.90968,1.00722,0.20664,0.45991,0.21041,0.19457,0.3442,1.89829,0.9719,0.008416,0.008416,0.008416
10,837.627,0.40051,1.86909,1.00442,0.30739,0.4555,0.28642,0.27808,0.31653,1.76519,0.95902,0.008218,0.008218,0.008218
11,920.272,0.39325,1.82782,0.9994,0.1491,0.51676,0.27682,0.26922,0.3016,1.7335,0.945,0.00802,0.00802,0.00802
12,1002.07,0.37778,1.79657,0.9861,0.26562,0.49647,0.31047,0.29967,0.26452,1.66113,0.9049,0.007822,0.007822,0.007822
13,1084.29,0.37299,1.78011,0.98928,0.22529,0.55276,0.31569,0.30829,0.27589,1.66002,0.90623,0.007624,0.007624,0.007624
14,1166.89,0.36871,1.74479,0.98414,0.24926,0.52205,0.33409,0.31917,0.30869,1.61015,0.95738,0.007426,0.007426,0.007426
15,1249.85,0.37418,1.73444,0.9868,0.24378,0.52869,0.34276,0.32234,0.31514,1.68949,0.95374,0.007228,0.007228,0.007228
16,1331.57,0.35485,1.70643,0.97617,0.26895,0.51583,0.35249,0.34513,0.27957,1.54443,0.91522,0.00703,0.00703,0.00703
17,1414.64,0.35678,1.68679,0.97771,0.30875,0.54623,0.39023,0.37272,0.2792,1.58057,0.90737,0.006832,0.006832,0.006832
18,1496.43,0.34645,1.64529,0.97597,0.262,0.54807,0.4016,0.39558,0.25927,1.43627,0.89662,0.006634,0.006634,0.006634
19,1578.66,0.33695,1.61761,0.96728,0.30338,0.52348,0.38912,0.38502,0.23601,1.60193,0.87543,0.006436,0.006436,0.006436
20,1659.66,0.3352,1.60178,0.96731,0.32089,0.54183,0.43433,0.42837,0.24869,1.46857,0.89838,0.006238,0.006238,0.006238
21,1741.8,0.33557,1.55614,0.96817,0.36867,0.55248,0.47021,0.45704,0.24215,1.34649,0.87633,0.00604,0.00604,0.00604
22,1823.36,0.33109,1.52578,0.96245,0.34695,0.5559,0.47807,0.46903,0.23447,1.43346,0.87662,0.005842,0.005842,0.005842
23,1905.35,0.32185,1.49774,0.95811,0.43058,0.58509,0.51154,0.50414,0.25016,1.29476,0.88804,0.005644,0.005644,0.005644
24,1987.73,0.32826,1.48142,0.96415,0.41972,0.59975,0.54473,0.53839,0.24092,1.23257,0.88119,0.005446,0.005446,0.005446
25,2069.87,0.31948,1.45071,0.95583,0.49914,0.57515,0.55591,0.54778,0.23862,1.2112,0.8757,0.005248,0.005248,0.005248
26,2151.22,0.31668,1.41872,0.95611,0.49945,0.62221,0.58821,0.58223,0.22125,1.16366,0.86212,0.00505,0.00505,0.00505
27,2233.11,0.30721,1.37849,0.94942,0.57305,0.66454,0.64287,0.63688,0.22825,1.04808,0.87046,0.004852,0.004852,0.004852
28,2315.82,0.30622,1.38476,0.95468,0.55237,0.62512,0.63551,0.62665,0.23207,1.06976,0.86784,0.004654,0.004654,0.004654
29,2398.99,0.30654,1.35074,0.95285,0.60323,0.62517,0.63729,0.63128,0.22285,1.08705,0.8636,0.004456,0.004456,0.004456
30,2480.87,0.30135,1.30841,0.95096,0.67992,0.6151,0.68256,0.67362,0.2283,0.95189,0.87098,0.004258,0.004258,0.004258
31,2562.47,0.30797,1.30801,0.95227,0.61718,0.64073,0.68679,0.67799,0.22547,0.94304,0.86397,0.00406,0.00406,0.00406
32,2643.96,0.29469,1.27082,0.94513,0.61314,0.68329,0.6984,0.68832,0.22134,0.92257,0.8579,0.003862,0.003862,0.003862
33,2725.96,0.2917,1.24834,0.94449,0.70715,0.64126,0.70528,0.69642,0.21894,0.92684,0.86039,0.003664,0.003664,0.003664
34,2808.7,0.29218,1.22389,0.9452,0.69127,0.62438,0.70953,0.70368,0.21529,0.92083,0.85589,0.003466,0.003466,0.003466
35,2890.98,0.28931,1.20419,0.94378,0.69106,0.71793,0.75524,0.74955,0.20794,0.77678,0.84842,0.003268,0.003268,0.003268
36,2972.33,0.28795,1.18181,0.9442,0.677,0.66387,0.72858,0.72018,0.20674,0.88696,0.84651,0.00307,0.00307,0.00307
37,3055.45,0.27745,1.15009,0.936,0.73104,0.71505,0.77422,0.76492,0.2049,0.74561,0.84782,0.002872,0.002872,0.002872
38,3137.56,0.28118,1.13728,0.94084,0.74891,0.70943,0.77323,0.76435,0.21326,0.74966,0.85303,0.002674,0.002674,0.002674
39,3219.02,0.27247,1.11196,0.93608,0.73518,0.71069,0.7705,0.76131,0.20615,0.76223,0.85302,0.002476,0.002476,0.002476
