epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,171.099,0.74349,2.42768,1.23132,0.03432,0.77423,0.06139,0.0448,0.84961,2.83348,1.54142,0.070048,0.003328,0.003328
2,335.009,0.64454,2.24112,1.1589,0.23285,0.53225,0.07466,0.06728,0.47967,2.20604,1.11621,0.0399161,0.00652944,0.00652944
3,497.391,0.56091,2.16732,1.10283,0.05457,0.93231,0.07361,0.06485,0.53327,2.12352,1.1982,0.00965221,0.00959888,0.00959888
4,659.989,0.5154,2.1311,1.07551,0.0466,0.95943,0.07333,0.06806,0.4108,2.10068,1.05447,0.009406,0.009406,0.009406
5,821.94,0.47366,2.11092,1.04895,0.05493,0.9432,0.08185,0.07525,0.40779,2.09464,1.0495,0.009208,0.009208,0.009208
6,983.873,0.44734,2.09531,1.03564,0.05557,0.9507,0.08194,0.07837,0.3591,2.08808,0.98762,0.00901,0.00901,0.00901
7,1146.14,0.4366,2.07497,1.02793,0.05724,0.92541,0.10185,0.09048,0.38803,2.09556,1.01724,0.008812,0.008812,0.008812
8,1307.39,0.42176,2.05526,1.01928,0.12115,0.87117,0.11446,0.11075,0.32297,1.9821,0.951,0.008614,0.008614,0.008614
9,1469.27,0.4073,2.0311,1.00896,0.05759,0.95127,0.12529,0.12013,0.34296,2.0499,0.97449,0.008416,0.008416,0.008416
10,1630.99,0.39167,1.99556,1.00226,0.16256,0.56762,0.16785,0.16193,0.34167,1.93763,0.98205,0.008218,0.008218,0.008218
11,1792.79,0.39154,1.9749,1.00174,0.11227,0.61219,0.16768,0.16377,0.30745,1.89115,0.93488,0.00802,0.00802,0.00802
12,1953.95,0.38213,1.9461,0.99748,0.15881,0.58323,0.21189,0.20475,0.29422,1.82837,0.92564,0.007822,0.007822,0.007822
13,2115,0.36881,1.91389,0.98784,0.27605,0.43525,0.22138,0.21219,0.30125,1.78154,0.93083,0.007624,0.007624,0.007624
14,2275.94,0.35902,1.89729,0.98342,0.19072,0.49147,0.2473,0.24147,0.28706,1.76047,0.91588,0.007426,0.007426,0.007426
15,2437.65,0.3691,1.87183,0.993,0.16054,0.53018,0.24183,0.22792,0.31215,1.96259,0.93284,0.007228,0.007228,0.007228
16,2598.53,0.3517,1.83515,0.98048,0.24108,0.53545,0.29792,0.28575,0.28311,1.68653,0.91619,0.00703,0.00703,0.00703
17,2759.57,0.34533,1.80908,0.97574,0.17972,0.50526,0.29311,0.2845,0.30328,1.71599,0.94236,0.006832,0.006832,0.006832
18,2920.42,0.3454,1.76308,0.9793,0.17751,0.52835,0.309,0.30222,0.28367,1.66529,0.91414,0.006634,0.006634,0.006634
19,3082.22,0.34129,1.74444,0.97557,0.33252,0.5193,0.351,0.34405,0.27163,1.54865,0.90688,0.006436,0.006436,0.006436
20,3243.3,0.33243,1.72408,0.97018,0.26134,0.54837,0.36779,0.36147,0.27724,1.51876,0.90701,0.006238,0.006238,0.006238
21,3404.32,0.32917,1.66789,0.96751,0.26985,0.58264,0.41351,0.40409,0.27803,1.42337,0.91047,0.00604,0.00604,0.00604
22,3566.52,0.32132,1.63584,0.96318,0.31328,0.58398,0.40397,0.39554,0.27052,1.4507,0.90669,0.005842,0.005842,0.005842
23,3727.62,0.31992,1.60124,0.96086,0.34084,0.62179,0.46149,0.45262,0.27351,1.35779,0.91312,0.005644,0.005644,0.005644
24,3888.72,0.31562,1.56297,0.9604,0.33742,0.61602,0.46958,0.46332,0.25792,1.31188,0.88775,0.005446,0.005446,0.005446
25,4049.71,0.31289,1.53491,0.95833,0.4147,0.6309,0.54492,0.53648,0.26211,1.2015,0.89896,0.005248,0.005248,0.005248
26,4211.66,0.31425,1.51066,0.95819,0.46396,0.61494,0.54015,0.53264,0.24982,1.18034,0.88173,0.00505,0.00505,0.00505
27,4372.6,0.30315,1.48227,0.95317,0.40926,0.61532,0.53927,0.5192,0.2552,1.24892,0.88919,0.004852,0.004852,0.004852
28,4533.65,0.3053,1.45386,0.95597,0.50208,0.64319,0.57721,0.56849,0.25108,1.16491,0.88501,0.004654,0.004654,0.004654
29,4694.88,0.30279,1.4146,0.95439,0.50368,0.67002,0.58787,0.57682,0.26998,1.11145,0.89773,0.004456,0.004456,0.004456
30,4856.14,0.29596,1.37259,0.94927,0.52514,0.64142,0.629,0.61759,0.25414,1.03801,0.88815,0.004258,0.004258,0.004258
31,5016.72,0.29527,1.33984,0.94944,0.63263,0.65383,0.65696,0.64996,0.25284,0.96861,0.88465,0.00406,0.00406,0.00406
32,5177.18,0.29301,1.3347,0.94659,0.55098,0.68259,0.66236,0.65124,0.253,0.96261,0.88503,0.003862,0.003862,0.003862
33,5337.65,0.28797,1.27974,0.94628,0.66455,0.63957,0.67053,0.65901,0.25435,0.96754,0.88814,0.003664,0.003664,0.003664
34,5499.35,0.28522,1.22337,0.94588,0.74687,0.66822,0.73062,0.71932,0.24427,0.83228,0.8802,0.003466,0.003466,0.003466
35,5660.39,0.28081,1.21056,0.94581,0.72682,0.70489,0.75226,0.74088,0.24454,0.80762,0.87809,0.003268,0.003268,0.003268
36,5821.47,0.27544,1.20611,0.94168,0.66766,0.7139,0.73593,0.72359,0.24594,0.83179,0.8805,0.00307,0.00307,0.00307
37,5983.53,0.27596,1.14862,0.93976,0.72003,0.72057,0.76369,0.75348,0.23296,0.77315,0.86811,0.002872,0.002872,0.002872
38,6144.72,0.27757,1.14405,0.94242,0.72205,0.73086,0.76975,0.7587,0.22919,0.78124,0.87034,0.002674,0.002674,0.002674
39,6305.97,0.2705,1.10197,0.93744,0.77589,0.71035,0.78201,0.77233,0.22973,0.74114,0.86772,0.002476,0.002476,0.002476
40,6467.17,0.26585,1.0644,0.93478,0.747,0.74865,0.80024,0.79033,0.23866,0.69551,0.87368,0.002278,0.002278,0.002278
